                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.54628,                 1.3072,                 3.1229,                0.97288,                0.00333,                      1,                0.82833,                0.82833,                0.00333,                      1,                0.82833,                0.76204,                 0.3909,                0.81562,                 2.6984,                0.83944,                 0.0001,                 0.0001,                 0.0001
                      2,                0.45341,                0.67953,                 2.3683,                0.89887,                0.01523,                      1,                  0.995,                 0.8955,                0.01523,                      1,                  0.995,                  0.995,                0.38519,                0.39601,                 2.2002,                0.80445,             0.00021782,             0.00021782,             0.00021782
                      3,                0.44897,                 0.3779,                 1.1245,                0.84078,                0.85274,                      1,                  0.995,                0.94504,                0.85274,                      1,                  0.995,                  0.995,                0.46604,                0.31952,                 1.9912,                0.80287,             0.00033327,             0.00033327,             0.00033327
                      4,                0.48398,                0.45377,                 1.0872,                0.84863,                0.00333,                      1,                  0.995,                0.84554,                0.00333,                      1,                  0.995,                0.97833,                 0.4855,                0.50557,                 2.3088,                0.81036,             0.00044634,             0.00044634,             0.00044634
                      5,                0.42958,                0.33683,                0.95872,                 0.8307,                0.90422,                      1,                  0.995,                0.89508,                0.90422,                      1,                  0.995,                0.97833,                0.51122,                0.40272,                 1.8793,                0.80556,             0.00055703,             0.00055703,             0.00055703
                      6,                0.45855,                0.34634,                0.95647,                0.84136,                0.83864,                      1,                  0.995,                  0.995,                0.83864,                      1,                  0.995,                  0.995,                0.23936,                0.56195,                 2.0809,                 0.7909,             0.00066535,             0.00066535,             0.00066535
                      7,                 0.4649,                0.35267,                0.84749,                 0.8505,                0.01205,                      1,                  0.995,                0.92029,                0.01205,                      1,                  0.995,                  0.995,                0.51215,                0.39196,                 2.2122,                0.82054,             0.00077129,             0.00077129,             0.00077129
                      8,                0.45299,                0.31649,                0.87248,                0.84344,                0.00333,                      1,                  0.995,                 0.8955,                0.00333,                      1,                  0.995,                  0.995,                0.73816,                0.44312,                 2.3826,                0.86486,             0.00087486,             0.00087486,             0.00087486
                      9,                0.42547,                0.29143,                0.84328,                0.85663,                 0.9827,                      1,                  0.995,                0.92029,                 0.9827,                      1,                  0.995,                  0.995,                0.58955,                 0.5866,                 2.0623,                0.83746,             0.00097605,             0.00097605,             0.00097605
                     10,                0.43853,                0.26349,                0.79184,                0.85207,                      1,                0.98589,                  0.995,                0.92029,                      1,                0.98589,                  0.995,                  0.995,                0.43105,                0.42766,                 2.0813,                0.82774,              0.0010749,              0.0010749,              0.0010749
                     11,                0.42383,                0.26972,                0.81969,                0.84336,                      1,                0.97413,                  0.995,                0.89508,                      1,                0.97413,                  0.995,                0.94504,                0.45557,                0.69023,                 1.7565,                0.81936,              0.0011713,              0.0011713,              0.0011713
                     12,                0.44689,                 0.2989,                0.77811,                0.84987,                      1,                0.96424,                  0.995,                 0.8955,                      1,                0.96424,                  0.995,                0.94504,                0.44902,                   1.28,                  1.493,                0.83054,              0.0012654,              0.0012654,              0.0012654
                     13,                0.41579,                0.27045,                0.79299,                0.84995,                      1,                0.97741,                  0.995,                 0.8955,                      1,                0.97741,                  0.995,                 0.8955,                0.66107,                0.94771,                 1.3534,                0.88767,               0.001357,               0.001357,               0.001357
                     14,                0.47914,                0.28855,                0.81291,                0.84404,                      1,                0.99926,                  0.995,                0.84559,                      1,                0.99926,                  0.995,                  0.995,                0.75239,                0.57268,                 1.2375,                0.85553,              0.0014464,              0.0014464,              0.0014464
                     15,                0.42246,                0.29504,                0.77666,                0.83459,                0.99116,                      1,                  0.995,                0.82079,                0.99116,                      1,                  0.995,                  0.995,                0.67026,                0.53664,                 1.1139,                0.84975,              0.0015333,              0.0015333,              0.0015333
                     16,                0.41665,                0.30007,                0.73978,                0.85145,                 0.9521,                      1,                  0.995,                 0.8955,                 0.9521,                      1,                  0.995,                0.94504,                0.51521,                0.63836,                 1.1544,                0.85358,              0.0016179,              0.0016179,              0.0016179
                     17,                0.41267,                0.28357,                0.70297,                0.86047,                 0.9663,                      1,                  0.995,                0.92029,                 0.9663,                      1,                  0.995,                0.92794,                0.51977,                0.59863,                0.96844,                0.83861,              0.0016832,              0.0016832,              0.0016832
                     18,                0.45301,                0.40087,                0.69215,                0.87976,                0.97403,                      1,                  0.995,                0.84559,                0.97403,                      1,                  0.995,                0.92029,                0.61184,                0.89744,                0.93417,                0.84382,              0.0016634,              0.0016634,              0.0016634
                     19,                 0.4362,                0.29334,                0.67043,                0.84804,                0.95232,                      1,                  0.995,                0.92029,                0.95232,                      1,                  0.995,                0.92029,                0.58509,                  1.394,                 1.3443,                0.84681,              0.0016436,              0.0016436,              0.0016436
                     20,                0.42572,                0.29591,                0.67031,                0.85144,                0.97844,                      1,                  0.995,                 0.8955,                0.97844,                      1,                  0.995,                0.94504,                0.57302,                0.74369,                0.72246,                0.88082,              0.0016238,              0.0016238,              0.0016238
                     21,                0.42098,                 0.2868,                0.64594,                0.84804,                 0.9763,                      1,                  0.995,                0.84554,                 0.9763,                      1,                  0.995,                  0.995,                0.50898,                0.53675,                  0.761,                0.85165,               0.001604,               0.001604,               0.001604
                     22,                0.46463,                0.34732,                0.65398,                0.85225,                0.98133,                      1,                  0.995,                0.89508,                0.98133,                      1,                  0.995,                0.94935,                0.55254,                0.43342,                0.61422,                0.88478,              0.0015842,              0.0015842,              0.0015842
                     23,                0.42976,                0.23806,                0.62031,                0.84465,                0.98241,                      1,                  0.995,                0.84554,                0.98241,                      1,                  0.995,                  0.995,                0.61554,                 0.4463,                 0.5877,                0.88877,              0.0015644,              0.0015644,              0.0015644
                     24,                0.43573,                0.29164,                0.63228,                0.86349,                0.98225,                      1,                  0.995,                  0.995,                0.98225,                      1,                  0.995,                  0.995,                0.43236,                0.38724,                 0.5803,                0.84209,              0.0015446,              0.0015446,              0.0015446
                     25,                0.37157,                0.23712,                0.58805,                0.83843,                0.98213,                      1,                  0.995,                0.92029,                0.98213,                      1,                  0.995,                  0.995,                0.47337,                0.34258,                0.46279,                0.86044,              0.0015248,              0.0015248,              0.0015248
                     26,                0.41112,                  0.257,                0.59547,                0.85277,                0.98233,                      1,                  0.995,                0.84559,                0.98233,                      1,                  0.995,                  0.995,                0.69504,                0.51883,                 0.7485,                 0.9245,               0.001505,               0.001505,               0.001505
                     27,                0.39626,                0.30909,                0.57899,                0.85148,                0.98232,                      1,                  0.995,                0.84559,                0.98232,                      1,                  0.995,                0.92102,                 0.6699,                0.41353,                0.60337,                0.90595,              0.0014852,              0.0014852,              0.0014852
