                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7298,                 1.7002,                 3.1942,                 1.0423,                0.01208,                0.82857,                0.01897,                0.01017,                0.01208,                0.82857,                0.01722,                 0.0105,                0.66886,                 1.3276,                  3.238,                 1.0891,                  6e-05,                  6e-05,                  6e-05
                      2,                0.65654,                 1.5163,                 3.0867,                 1.0226,                0.01375,                0.94286,                0.04151,                0.02935,                0.01375,                0.94286,                0.04151,                0.02958,                0.61566,                0.93699,                 3.1469,                 1.0007,             0.00013972,             0.00013972,             0.00013972
                      3,                0.41302,                 0.5589,                 1.8311,                0.85941,                      1,                0.10991,                0.68971,                0.56193,                      1,                0.10991,                0.73481,                0.65495,                0.62665,                0.56625,                 2.5149,                 0.8375,             0.00021913,             0.00021913,             0.00021913
                      4,                0.44341,                0.43036,                 1.0833,                 0.8252,                      1,                0.14083,                0.77725,                 0.6731,                      1,                0.14083,                0.78229,                0.69993,                0.55586,                0.68377,                 2.4895,                0.81702,             0.00029822,             0.00029822,             0.00029822
                      5,                0.43238,                0.35292,                0.96972,                0.82024,                0.01417,                0.97143,                0.67101,                 0.5807,                0.01417,                0.97143,                0.68343,                0.60485,                0.57062,                0.82536,                 2.6088,                0.82625,             0.00037699,             0.00037699,             0.00037699
                      6,                0.44944,                0.36099,                0.89358,                 0.8262,                0.01417,                0.97143,                0.78695,                0.65616,                0.01417,                0.97143,                0.79512,                0.68456,                0.61171,                0.94174,                  2.536,                0.82835,             0.00045545,             0.00045545,             0.00045545
                      7,                0.40635,                0.32816,                0.88654,                0.83884,                      1,                0.69268,                0.82818,                0.64701,                      1,                0.69268,                0.84162,                0.73865,                0.74621,                0.88012,                 2.4988,                0.85574,             0.00053358,             0.00053358,             0.00053358
                      8,                0.43553,                0.37473,                0.81506,                0.81664,                0.04345,                0.82857,                0.78489,                0.64144,                0.04345,                0.82857,                  0.786,                0.69381,                0.72125,                 1.0844,                 2.4995,                0.86857,             0.00061141,             0.00061141,             0.00061141
                      9,                0.46383,                0.35319,                0.82736,                0.85297,                      1,                0.26777,                0.84232,                0.68176,                      1,                0.26777,                0.84255,                0.72816,                0.69948,                0.99252,                 2.3306,                0.84256,             0.00068891,             0.00068891,             0.00068891
                     10,                0.45159,                0.42025,                0.78809,                0.84326,                      1,                0.43583,                0.84487,                0.69178,                      1,                0.43583,                  0.848,                0.72016,                0.82121,                 1.2853,                  2.166,                0.86101,              0.0007661,              0.0007661,              0.0007661
                     11,                0.47033,                0.39351,                0.86625,                0.86751,                      1,                0.33214,                0.74589,                 0.5861,                      1,                0.33214,                0.74659,                0.64787,                0.88442,                 2.3302,                 2.3562,                0.88134,             0.00084297,             0.00084297,             0.00084297
                     12,                0.46084,                0.43485,                 0.7904,                0.85779,                      1,                0.09006,                0.47315,                0.37401,                      1,                0.09006,                0.55447,                0.43844,                0.83543,                 2.7536,                 2.7211,                0.93736,             0.00091953,             0.00091953,             0.00091953
                     13,                0.51014,                0.34177,                0.81571,                0.85445,                0.68117,                0.12299,                0.26333,                0.20625,                0.68117,                0.12299,                0.26946,                0.21175,                0.80867,                 3.7053,                 2.8873,                0.97385,             0.00099576,             0.00099576,             0.00099576
                     14,                0.44898,                0.32422,                0.74182,                0.84936,                      1,                0.08278,                0.25877,                0.20893,                      1,                0.08278,                 0.2694,                0.23319,                0.85609,                 4.0497,                 2.8868,                 1.0035,              0.0010717,              0.0010717,              0.0010717
